Date,Exercise,Variation,Weight,Count
2023-07-31,BENCH PRESS,/,87.5,3.0
2023-07-31,BENCH PRESS,/,87.5,3.0
2023-07-31,DIP,/,25,7.0
2023-07-31,DIP,/,25,7.0
2023-07-31,DIP,/,25,7.0
2023-08-02,FRONT LEVER,/,0,14.0
2023-08-02,FRONT LEVER,/,0,15.0
2023-08-02,FRONT LEVER,/,0,9.0
2023-08-02,SQUAT,/,0,10.0
2023-08-02,SQUAT,/,0,10.0
2023-08-02,SQUAT,/,0,8.0
2023-08-02,BACK LEVER,/,B,11.0
2023-08-02,BACK LEVER,/,B,20.0
2023-08-02,BACK LEVER,/,B,15.0
2023-08-02,HYPEREXTENSION,/,20,8.0
2023-08-02,HYPEREXTENSION,/,15,8.0
2023-08-02,HYPEREXTENSION,/,15,12.0
2023-08-03,TUCK PLANCHE,/,0,15.0
2023-08-03,TUCK PLANCHE,/,0,10.0
2023-08-03,TUCK PLANCHE,/,0,12.0
2023-08-03,OVERHEAD PRESS,/,55,4.0
2023-08-03,OVERHEAD PRESS,/,55,3.0
2023-08-03,OVERHEAD PRESS,/,55,3.0
2023-08-03,OVERHEAD PRESS,/,55,3.0
2023-08-03,OVERHEAD PRESS,/,55,3.0
2023-08-03,BENCH PRESS,/,95,1.0
2023-08-05,FRONT LEVER,STRADDLE,0,8.0
2023-08-05,FRONT LEVER,STRADDLE,0,8.0
2023-08-05,FRONT LEVER,STRADDLE,0,6.0
2023-08-05,FRONT LEVER,/,0,9.0
2023-08-05,HIP THRUST,/,100,8.0
2023-08-05,HIP THRUST,/,130,6.0
2023-08-05,HIP THRUST,/,130,6.0
2023-08-05,HIP THRUST,/,130,6.0
2023-08-05,BACK LEVER,/,P,10.0
2023-08-06,PLANCHE,TUCK,0,10.0
2023-08-06,PLANCHE,ADVANCED TUCK,B,10.0
2023-08-06,PLANCHE,ADVANCED TUCK,B,8.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,BENCH PRESS,/,87.5,3.0
2023-08-06,PULL UP,/,0,12.0
2023-08-06,DIP,/,40,6.0
2023-08-06,DIP,/,40,4.0
2023-08-07,SQUAT,/,110,5.0
2023-08-07,SQUAT,/,110,5.0
2023-08-07,SQUAT,/,110,5.0
2023-08-07,SQUAT,/,110,5.0
2023-08-07,PULL UP,/,20,5.0
2023-08-07,PULL UP,/,15,6.0
2023-08-07,OVERHEAD PRESS,/,40,10.0
2023-08-07,OVERHEAD PRESS,/,40,10.0
2023-08-09,PLANCHE,TUCK,0,5.0
2023-08-09,PLANCHE,TUCK,0,5.0
2023-08-09,PLANCHE,TUCK,0,12.0
2023-08-09,FRONT LEVER,ADVANCED TUCK,0,8.0
2023-08-09,FRONT LEVER,ADVANCED TUCK,0,8.0
2023-08-09,FRONT LEVER,ADVANCED TUCK,0,8.0
2023-08-09,PULL UP,/,20,5.0
2023-08-09,PULL UP,/,15,6.0
2023-08-09,PULL UP,/,10,8.0
2023-08-10,BENCH PRESS,/,90,3.0
2023-08-10,BENCH PRESS,/,90,3.0
2023-08-10,BENCH PRESS,/,90,3.0
2023-08-10,BENCH PRESS,/,90,3.0
2023-08-10,BENCH PRESS,/,90,2.0
2023-08-10,DIP,/,30,6.0
2023-08-10,DIP,/,30,6.0
2023-08-10,DIP,/,30,8.0
2023-08-10,OVERHEAD PRESS,/,50,5.0
2023-08-10,OVERHEAD PRESS,/,50,10.0
2023-08-10,OVERHEAD PRESS,/,50,8.0
2023-08-16,PLANCHE,ADVANCED TUCK,P,8.0
2023-08-16,PLANCHE,ADVANCED TUCK,P,10.0
2023-08-16,PLANCHE,ADVANCED TUCK,P,5.0
2023-08-16,BACK LEVER,/,B,13.0
2023-08-16,BACK LEVER,/,B,15.0
2023-08-16,BACK LEVER,/,P,17.0
2023-08-17,FRONT LEVER,STRADDLE,0,8.0
2023-08-17,FRONT LEVER,STRADDLE,0,9.0
2023-08-17,FRONT LEVER,STRADDLE,0,8.0
2023-08-17,BACK LEVER,/,0,4.0
2023-08-17,BULGARIAN SPLIT SQUAT,/,16,10.0
2023-08-17,BULGARIAN SPLIT SQUAT,/,16,10.0
2023-08-17,BULGARIAN SPLIT SQUAT,/,16,10.0
2023-08-17,PULL UP,/,20,5.0
2023-08-17,PULL UP,/,15,6.0
2023-08-17,PULL UP,/,10,8.0
2023-08-17,DRAGON FLAG,/,0,15.0
2023-08-17,DRAGON FLAG,/,0,10.0
2023-08-22,PLANCHE,TUCK,0,6.0
2023-08-22,PLANCHE,TUCK,0,4.0
2023-08-22,PLANCHE,TUCK,P,6.0
2023-08-22,BENCH PRESS,/,90,3.0
2023-08-22,BENCH PRESS,/,90,3.0
2023-08-22,BENCH PRESS,/,90,2.0
2023-08-22,BENCH PRESS,/,80,7.0
2023-08-22,DIP,BAR,12,12.0
2023-08-22,DIP,BAR,12,
2023-08-22,DIP,BAR,12,
2023-08-22,PUSH UP,ARCHER,10,
2023-08-22,PUSH UP,NARROW,20,
2023-08-23,OVERHEAD PRESS,/,40,10.0
2023-08-23,OVERHEAD PRESS,/,40,10.0
2023-08-23,OVERHEAD PRESS,/,40,10.0
2023-08-24,FRONT LEVER,/,0,2.0
2023-08-24,FRONT LEVER,STRADDLE,0,6.0
2023-08-24,FRONT LEVER,STRADDLE,0,6.0
2023-08-24,FRONT LEVER,STRADDLE,0,5.0
2023-08-24,BACK LEVER,/,P,10.0
2023-08-24,BACK LEVER,/,0,10.0
2023-08-24,ONE ARM HOLD,/,0,12.0
2023-08-24,ONE ARM HOLD,/,0,12.0
2023-08-24,ONE ARM HOLD,/,0,12.0
2023-08-24,PULL UP,L SIT,0,7.0
2023-08-24,PULL UP,L SIT,0,7.0
2023-08-27,PLANCHE,ADVANCED TUCK,0,5.0
2023-08-27,PLANCHE,ADVANCED TUCK,P,8.0
2023-08-27,PLANCHE,ADVANCED TUCK,P,3.0
2023-08-27,BENCH PRESS,/,90,3.0
2023-08-27,BENCH PRESS,/,90,3.0
2023-08-27,BENCH PRESS,/,87.5,3.0
2023-08-27,BENCH PRESS,/,87.5,3.0
2023-08-27,BENCH PRESS,/,87.5,3.0
2023-08-27,OVERHEAD PRESS,/,50,6.0
2023-08-27,OVERHEAD PRESS,/,50,6.0
2023-08-27,OVERHEAD PRESS,/,50,6.0
2023-08-27,OVERHEAD PRESS,/,50,4.0
2023-08-29,PULL UP,/,20,6.0
2023-08-29,PULL UP,/,20,5.0
2023-08-29,PULL UP,/,20,4.0
2023-08-29,MUSCLE UP,/,0,3.0
2023-08-29,PULL UP,L SIT,0,7.0
2023-08-30,PLANCHE,ADVANCED TUCK,0,5.0
2023-08-30,PLANCHE,ADVANCED TUCK,0,2.0
2023-08-30,PLANCHE,ADVANCED TUCK,P,7.0
2023-08-30,SQUAT,ATG,80,7.0
2023-08-30,SQUAT,ATG,80,8.0
2023-08-30,SQUAT,ATG,100,5.0
2023-08-30,HIP THRUST,/,100,8.0
2023-08-30,HIP THRUST,/,100,8.0
2023-08-30,HIP THRUST,/,130,8.0
2023-09-04,BENCH PRESS,/,85,5.0
2023-09-04,BENCH PRESS,/,85,5.0
2023-09-04,BENCH PRESS,/,85,5.0
2023-09-04,MUSCLE UP,/,0,4.0
2023-09-04,DIP,/,35,6.0
2023-09-04,DIP,/,35,6.0
2023-09-04,DIP,/,35,6.0
2023-09-04,L SIT,FLOOR,P,15.0
2023-09-04,L SIT,FLOOR,P,15.0
2023-09-05,SQUAT,/,100,6.0
2023-09-05,SQUAT,/,100,5.0
2023-09-05,SQUAT,/,100,5.0
2023-09-05,SQUAT,/,70,5.0
2023-09-05,HIP THRUST,/,120,8.0
2023-09-05,HIP THRUST,/,120,8.0
2023-09-05,HIP THRUST,/,120,8.0
2023-09-08,PLANCHE,ADVANCED TUCK,0,5.0
2023-09-08,PLANCHE,ADVANCED TUCK,P,5.0
2023-09-08,PLANCHE,ADVANCED TUCK,P,5.0
2023-09-08,PLANCHE,TUCK,0,10.0
2023-09-08,OVERHEAD PRESS,/,50,6.0
2023-09-08,L SIT,/,P,19.0
2023-09-08,L SIT,/,P,20.0
2023-09-09,FRONT LEVER,STRADDLE,0,7.0
2023-09-09,FRONT LEVER,/,P,5.0
2023-09-09,FRONT LEVER,/,P,4.0
2023-09-09,BACK LEVER,/,0,10.0
2023-09-09,MUSCLE UP,/,0,5.0
2023-09-09,PULL UP,ONE ARM,P,3.0
2023-09-11,SQUAT,/,100,8.0
2023-09-11,SQUAT,/,100,8.0
2023-09-11,SQUAT,/,100,8.0
2023-09-11,HIP THRUST,/,110,8.0
2023-09-11,HIP THRUST,/,130,6.0
2023-09-11,HIP THRUST,/,130,6.0
2023-09-12,BENCH PRESS,/,80,5.0
2023-09-12,BENCH PRESS,/,80,6.0
2023-09-12,BENCH PRESS,/,85,5.0
2023-09-12,DIP,/,35,7.0
2023-09-12,DIP,/,35,7.0
2023-09-12,DIP,/,35,7.0
2023-09-14,PULL UP,/,20,6.0
2023-09-14,PULL UP,/,15,8.0
2023-09-14,PULL UP,/,10,10.0
